global_seed,timestamp,system_name,model_name,noise_level,library_strategy,optimizer,use_ensemble,threshold,active_curation_threshold,expansion_strategy,split_strategy,discovery_time_s,structural_complexity,canonical_complexity,train_r2,train_mse,test_r2,test_mse,new_traj_r2,new_traj_mse,sim_time_s,sim_r2,sim_mse,equations
32,4/3/2026 20:36,harmonic_oscillator,AutoSINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,33.03345537,4,4,0.999999001,3.71E-07,0.999999109,1.86E-06,0.9999993,1.40E-07,0.998731136,0.99999992,7.78E-09,1.0001708053 x1; -5.0000421358 x0 + -1.0006943344 x1
32,4/3/2026 20:36,harmonic_oscillator,Standard SINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,0.48811388,7,7,0.999999002,3.70E-07,0.999999155,1.73E-06,0.999999303,1.39E-07,1.094725132,0.999999928,6.82E-09,1.0001708053 x1; -5.0176276923 x0 + -1.0006823730 x1 + 0.0180173358 1 sin(1 x0)
32,4/3/2026 20:36,harmonic_oscillator,Standard PySR,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,21.3975637,3,4,0.999998968,3.95E-07,0.999999107,1.87E-06,0.999999275,1.49E-07,5.33943367,0.999999554,4.32E-08,x1*1.0001706; x0*(-4.999978) - x1
33,4/3/2026 20:37,harmonic_oscillator,AutoSINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,20.11254668,4,4,0.999999001,3.71E-07,0.999999109,1.86E-06,0.9999993,1.40E-07,0.947817564,0.99999992,7.78E-09,1.0001708053 x1; -1.0006943344 x1 + -5.0000421358 x0
33,4/3/2026 20:37,harmonic_oscillator,Standard SINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,0.485743284,7,7,0.999999002,3.70E-07,0.999999155,1.73E-06,0.999999303,1.39E-07,1.079931974,0.999999928,6.82E-09,1.0001708053 x1; -5.0176276923 x0 + -1.0006823730 x1 + 0.0180173358 1 sin(1 x0)
33,4/3/2026 20:37,harmonic_oscillator,Standard PySR,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,18.57700753,3,4,0.999998968,3.95E-07,0.999999107,1.87E-06,0.999999275,1.49E-07,5.336890221,0.999999553,4.32E-08,x1*1.0001706; x0*(-4.9999847) - x1
34,4/3/2026 20:38,harmonic_oscillator,AutoSINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,19.85134363,4,4,0.999999001,3.71E-07,0.999999109,1.86E-06,0.9999993,1.40E-07,1.013206482,0.99999992,7.78E-09,1.0001708053 x1; -1.0006943344 x1 + -5.0000421358 x0
34,4/3/2026 20:38,harmonic_oscillator,Standard SINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,0.473094463,7,7,0.999999002,3.70E-07,0.999999155,1.73E-06,0.999999303,1.39E-07,1.266580343,0.999999928,6.82E-09,1.0001708053 x1; -5.0176276923 x0 + -1.0006823730 x1 + 0.0180173358 1 sin(1 x0)
34,4/3/2026 20:38,harmonic_oscillator,Standard PySR,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,18.99672055,3,4,0.999998968,3.95E-07,0.999999106,1.87E-06,0.999999275,1.49E-07,5.999443054,0.999999557,4.29E-08,x1*1.0001706; x0*(-4.999956) - x1
35,4/3/2026 20:39,harmonic_oscillator,AutoSINDy,0,Separate,STLSQ,TRUE,0.21,0.985,gentle,middle,20.52418423,4,4,0.999999001,3.71E-07,0.999999109,1.86E-06,0.9999993,1.40E-07,0.979999065,0.99999992,7.78E-09,1.0001708053 x1; -1.0006943344 x1 + -5.0000421358 x0
