global_seed,timestamp,system_name,model_name,noise_level,library_strategy,optimizer,use_ensemble,threshold,active_curation_threshold,expansion_strategy,split_strategy,discovery_time_s,structural_complexity,canonical_complexity,train_r2,train_mse,test_r2,test_mse,new_traj_r2,new_traj_mse,sim_time_s,sim_r2,sim_mse,equations
32,2026-04-28 16:17:34,duffing,AutoSINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,23.49942135810852,7,7,0.999973704331236,2.335741176421259e-06,0.9999372812906091,5.148342136990703e-06,0.9999803864175565,2.391581479115841e-06,0.7336769104003906,0.9953456827087808,0.00029865029546705097,1.0002538087 x1; 0.9995024175 x0 + -0.2962810724 x1 + -0.9986558914 x0**3
32,2026-04-28 16:17:34,duffing,Standard SINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.3500545024871826,4,4,0.4985027580924692,0.04659856222504042,0.45750496881150804,0.044959328599343054,0.47323089894291565,0.06447534387838944,0.8112137317657471,-6.061638825418895,1.2430985274813176,1.0124702254 x1 + -0.0124259928 1 sin(1 x1); 0.0000000000
32,2026-04-28 16:17:34,duffing,Standard PySR,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,14.60630464553833,7,38,0.9999684964953843,2.827388644767332e-06,0.9626683751107266,0.002136955716535663,0.9999342222761669,7.444792523708423e-06,4.413416385650635,0.9997817313574977,1.2869947538069584e-05,x1 + (x1 - 1*(-0.24352771))**12; x0 - (x0**3 + x1*0.29735047)
33,2026-04-28 16:18:08,duffing,AutoSINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,13.1229727268219,7,7,0.999973704331236,2.335741176421259e-06,0.9999372812906091,5.148342136990703e-06,0.9999803864175565,2.391581479115841e-06,0.8130137920379639,0.9953456827087808,0.00029865029546705097,1.0002538087 x1; 0.9995024175 x0 + -0.2962810724 x1 + -0.9986558914 x0**3
33,2026-04-28 16:18:08,duffing,Standard SINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.3324143886566162,4,4,0.4985027580924692,0.04659856222504042,0.45750496881150804,0.044959328599343054,0.47323089894291565,0.06447534387838944,0.816138744354248,-6.061638825418895,1.2430985274813176,1.0124702254 x1 + -0.0124259928 1 sin(1 x1); 0.0000000000
33,2026-04-28 16:18:08,duffing,Standard PySR,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,12.014378547668457,7,7,0.999968407557851,2.830611694116806e-06,0.9999486009306128,4.196970874409549e-06,0.9999803180964716,2.3607932603615925e-06,4.434538125991821,0.9979828173911339,0.00012804347590051552,-0.000491848*x0 + x1 + 0.00046340306; -x0**3 + x0 + x1*(-0.29735172)
34,2026-04-28 16:18:42,duffing,AutoSINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,13.150466918945312,7,7,0.999973704331236,2.335741176421259e-06,0.9999372812906091,5.148342136990703e-06,0.9999803864175565,2.391581479115841e-06,0.7032272815704346,0.9953456827087808,0.00029865029546705097,1.0002538087 x1; 0.9995024175 x0 + -0.2962810724 x1 + -0.9986558914 x0**3
34,2026-04-28 16:18:42,duffing,Standard SINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.32862424850463867,4,4,0.4985027580924692,0.04659856222504042,0.45750496881150804,0.044959328599343054,0.47323089894291565,0.06447534387838944,0.7959973812103271,-6.061638825418895,1.2430985274813176,1.0124702254 x1 + -0.0124259928 1 sin(1 x1); 0.0000000000
34,2026-04-28 16:18:42,duffing,Standard PySR,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,12.539697885513306,8,8,0.9999683934650387,2.8311223857924667e-06,0.9999264302266127,5.465376655970622e-06,0.9996241012095732,4.16483407898933e-05,4.288402318954468,0.9749626504532289,0.0018119095658872908,sin(x1**3*0.18327755 + x1); -x0**3 + x0 + x1*(-0.2973512)
35,2026-04-28 16:19:17,duffing,AutoSINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,13.559326887130737,7,7,0.999973704331236,2.335741176421259e-06,0.9999372812906091,5.148342136990703e-06,0.9999803864175565,2.391581479115841e-06,0.7412948608398438,0.9953456827087808,0.00029865029546705097,1.0002538087 x1; 0.9995024175 x0 + -0.2962810724 x1 + -0.9986558914 x0**3
35,2026-04-28 16:19:17,duffing,Standard SINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.3558542728424072,4,4,0.4985027580924692,0.04659856222504042,0.45750496881150804,0.044959328599343054,0.47323089894291565,0.06447534387838944,0.787621021270752,-6.061638825418895,1.2430985274813176,1.0124702254 x1 + -0.0124259928 1 sin(1 x1); 0.0000000000
35,2026-04-28 16:19:17,duffing,Standard PySR,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,12.494718313217163,7,7,0.9999684075561313,2.8306118539083448e-06,0.9999485827358443,4.198478858444043e-06,0.9999803027803069,2.3626684485533075e-06,4.32068943977356,0.9979764835702687,0.00012844947150379439,-0.0004918447*x0 + x1 - 1*(-0.00046339995); -x0**3 + x0 + x1*(-0.29734638)
136,2026-04-28 16:45:52,duffing,AutoSINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,29.195114135742188,7,7,0.999973704331236,2.3357411764212577e-06,0.9999372812906091,5.1483421369907e-06,0.9999803864175565,2.3915814791158427e-06,0.9860236644744873,0.9953456827087808,0.00029865029546705097,1.0002538087 x1; 0.9995024175 x0 + -0.2962810724 x1 + -0.9986558914 x0**3
136,2026-04-28 16:45:52,duffing,Standard SINDy,0,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4280827045440674,4,4,0.4985027580924692,0.04659856222504042,0.45750496881150804,0.044959328599343054,0.47323089894291565,0.06447534387838944,1.2029776573181152,-6.061638825418895,1.2430985274813176,1.0124702254 x1 + -0.0124259928 1 sin(1 x1); 0.0000000000
