,,,new_traj_r2,new_traj_r2,sim_r2,sim_r2,canonical_complexity,canonical_complexity,discovery_time_s,discovery_time_s
,,,mean,std,mean,std,mean,std,mean,std
system_name,model_name,noise_level,,,,,,,,
duffing,AutoSINDy,0.0,1.0,0.0,0.9953,0.0,7.0,0.0,18.5055,7.4384
duffing,AutoSINDy,0.01,1.0,0.0,0.9949,0.0025,7.0,0.0,19.8738,5.3678
duffing,AutoSINDy,0.02,1.0,0.0,0.9949,0.0051,7.0,0.0,21.6006,8.6772
duffing,AutoSINDy,0.03,0.9234,0.1234,-2.2053,4.4381,7.4,0.5477,23.4524,6.3426
duffing,AutoSINDy,0.04,0.3807,0.8326,-4.3409,3.5542,8.25,1.2583,23.2275,5.1528
duffing,Standard PySR,0.0,0.9987,0.0027,0.8997,0.2082,17.8,14.6867,13.7614,2.1424
duffing,Standard PySR,0.01,-104494.5574,233658.6114,-5.5761,2.6718,27.2,31.5706,16.4082,2.1939
duffing,Standard PySR,0.02,0.9393,0.0199,-7.6515,1.1546,9.8,9.6799,16.0394,1.8697
duffing,Standard PySR,0.03,-1415.0424,3139.8565,-10.4174,4.4613,25.2,32.3836,18.1149,1.8245
duffing,Standard PySR,0.04,-10.8093,0.1623,-10.9532,4.6411,10.5,10.3763,18.807,2.1683
duffing,Standard SINDy,0.0,0.4732,0.0,-6.0616,0.0,4.0,0.0,0.359,0.0403
duffing,Standard SINDy,0.01,-60.5742,85.3417,-9.7177,7.3568,7.2,4.4385,0.4213,0.0215
duffing,Standard SINDy,0.02,-95.9091,90.2383,-10.9614,8.5197,8.0,5.1962,0.4471,0.0301
duffing,Standard SINDy,0.03,-95.761,90.1331,-10.946,8.4687,8.0,5.1962,0.4821,0.0348
duffing,Standard SINDy,0.04,-76.4518,89.4991,-21.2602,15.0247,12.0,0.8165,0.6207,0.1922
